Site,ID,ID2,Site_Lat,Lat,Long,Region,Lat_spei,Long_spei,SPEI_auto,CMDA_auto,MAPA_auto,MATA_auto,SPEI_mean,CMDA_mean,MAPA_mean,MATA_mean,change_SLA_W,change_SLA_D,change_DF_W,change_DF_D,abs_change_SLA_W,abs_change_SLA_D,abs_change_DF_W,abs_change_DF_D,time_range
1,S02,Sweetwater River,1_32.9,32.89928,-116.5849,South,32.75,-116.75,-0.046033351789272564,-0.5902553930076865,-0.14954092866588337,-0.03927036133384377,0.2790944774945577,-86.53333333333,0.002326889667217634,-0.29694444444446777,-48.17696365324076,-35.18011007787513,-5.302083333333329,-4.231818181818184,48.17696365324076,35.18011007787513,5.302083333333329,4.231818181818184,2010_2012
2,S07,West Fork Mojave River,2_34.3,34.28425,-117.37539,South,34.25,-117.25,-0.09026019521086429,-0.38940092165898615,-0.1413234224248033,-0.0036794296884016123,0.37068146467208835,-91.033333333333,0.028698968123619405,-0.38527777777773464,NA,NA,NA,NA,NA,NA,NA,NA,2010_2012
3,S10,North Fork Middle Fork Tule,3_36.2,36.20081,-118.65092,Centre,36.25,-118.75,-0.19076876401503526,-0.4075785582255083,-0.26534307337272245,-0.05558580633453019,0.6572368244330116,-59.3,0.03482746461651387,-0.30361111111116623,-29.532748075007248,-120.02378327124913,-9.079545454545453,2.2467532467532436,29.532748075007248,120.02378327124913,9.079545454545453,2.2467532467532436,2010_2012
5,S32,Wawona,5_37.5,37.539,-119.654,Centre,35.75,-119.75,-0.23703310059122334,-0.4699822622458724,-0.45398567362402154,-0.007966143888481996,1.1399630407492287,-48.93333333333333,0.03405040467816497,-0.201944444444433,2.8743883702435937,9.342188989044189,-0.4074074074074048,2.316666666666677,2.8743883702435937,9.342188989044189,0.4074074074074048,2.316666666666677,2010_2012
7,S18,Little Jameson Creek,7_39.7,39.74298,-120.70401,Centre,39.75,-120.75,-0.41983111227941106,-0.2935009650723143,-0.4153986741651412,-0.003632664922988258,0.1730323135852817,-35.80000000000033,0.0389643593255675,-0.21111111111111036,13.211510132006197,0.7574577096239352,1.6774193548387046,0.46743295019156506,13.211510132006197,0.7574577096239352,1.6774193548387046,0.46743295019156506,2010_2012
9,S16,O'Neil Creek,9_41.8,41.80979,-123.11887,North,41.75,-123.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010_2012
11,S15,Rock Creek,11_43.4,43.37876,-122.95207,North,43.25,-122.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010_2012
1,S02,Sweetwater River,1_32.9,32.89928,-116.5849,South,32.75,-116.75,-0.04227729831782349,-0.010099190623724092,-0.12713694777895232,-0.04243802100252322,-0.346805532773336,-83.19999999999666,0.07196651151311567,-0.00527777777780114,-16.517063267898862,12.814403550697051,-6.384259259259252,0.17934782608695343,16.517063267898862,12.814403550697051,6.384259259259252,0.17934782608695343,2011_2013
3,S10,North Fork Middle Fork Tule,3_36.2,36.20081,-118.65092,Centre,36.25,-118.75,-0.037280764632613254,-0.26156032033066395,-0.10975799863935977,-0.018318443105479462,-0.15724408626556366,-104.36666666666699,0.08279402696723623,0.009444444444450183,3.6829149081316075,3.1492442295109697,0.7857142857142918,1.6309523809523796,3.6829149081316075,3.1492442295109697,0.7857142857142918,1.6309523809523796,2011_2013
4,S08,Redwood Creek,4_36.7,36.69096,-118.90961,Centre,36.75,-118.75,-0.03789130098292298,-0.1104457917856725,-0.0416810397272236,-0.005434618974501804,-0.02327341834703937,-24.966666666666665,0.12883434402644897,0.07694444444440045,-50.71058087857412,80.21603305925186,-4.364285714285714,1.875,50.71058087857412,80.21603305925186,4.364285714285714,1.875,2011_2013
12,S11,Mill Creek,12_34.1,34.07808,-116.87558,South,34.25,-116.75,-0.0925769064552609,-0.08131682611142371,-0.055500041051884254,-0.007439597221043279,-0.03391216198603301,-6.400000000000003,0.1161833964635405,0.0636111111111558,-21.190266755842202,-15.9788359884881,-1.9249999999999972,-2.4583333333333286,21.190266755842202,15.9788359884881,1.9249999999999972,2.4583333333333286,2011_2013
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011_2013
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011_2013
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011_2013
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2011_2013
1,S02,Sweetwater River,1_32.9,32.89928,-116.5849,South,32.75,-116.75,-0.01736322519356105,-1.9409184426069726e-5,-0.10646131946607326,-0.03815424889931985,-1.0875908136367813,-20.199999999996667,0.17786653171129102,0.4780555555555325,30.477436778171665,-16.348651717391533,-1.1666666666666714,1.5872235872235905,30.477436778171665,16.348651717391533,1.1666666666666714,1.5872235872235905,2012_2014
3,S10,North Fork Middle Fork Tule,3_36.2,36.20081,-118.65092,Centre,36.25,-118.75,-0.006978670268865124,-0.17048323984656608,-0.0013382248735182034,-6.486661801656732e-4,-1.0167822738488526,24.36666666666667,0.261333218954009,0.6297222222222001,25.857613034546603,24.891645686938517,7.938416422287389,-0.8848484848484759,25.857613034546603,24.891645686938517,7.938416422287389,0.8848484848484759,2012_2014
4,S08,Redwood Creek,4_36.7,36.69096,-118.90961,Centre,36.75,-118.75,-0.05342114810307287,-0.28571428571428575,-2.1931320320325655e-4,-8.770391159517312e-5,-1.057745118935903,37.6,0.250991724160169,0.6247222222222661,-18.12843281871693,26.77964822631307,-6.384615384615387,-2.9749999999999943,18.12843281871693,26.77964822631307,6.384615384615387,2.9749999999999943,2012_2014
5,S32,Wawona,5_37.5,37.539,-119.654,Centre,35.75,-119.75,-4.179575716604755e-6,-0.3844024192861402,-0.09939078822495163,-1.7142367360795818e-4,-0.7847160597642276,59.06666666666667,0.231832368450583,0.7758333333333334,-48.235911907110335,2.9772575743931213,2.75,0.22499999999999432,48.235911907110335,2.9772575743931213,2.75,0.22499999999999432,2012_2014
7,S18,Little Jameson Creek,7_39.7,39.74298,-120.70401,Centre,39.75,-120.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012_2014
9,S16,O'Neil Creek,9_41.8,41.80979,-123.11887,North,41.75,-123.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012_2014
10,S36,Deer Creek,10_42.3,42.27411,-123.63617,North,42.25,-123.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012_2014
11,S15,Rock Creek,11_43.4,43.37876,-122.95207,North,43.25,-122.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012_2014
3,S10,North Fork Middle Fork Tule,3_36.2,36.20081,-118.65092,Centre,36.25,-118.75,-0.6484694767717833,-0.6657997399219766,-0.5408474010479749,-0.035274823199280915,-0.9359308481216421,-3.366666666667001,0.18009892138837247,1.0761111111111266,14.173065053362507,-10.088274847280417,-1.5499999999999972,-3.4666666666666686,14.173065053362507,10.088274847280417,1.5499999999999972,3.4666666666666686,2013_2015
6,S29,Oregon Creek,6_39.4,39.39442,-121.08302,Centre,39.25,-121.25,-0.6453443323091599,-0.15873219008617015,-0.43455432355357815,-0.011389182308175327,-1.1510260899861666,47.36666666666669,0.25394565556308835,1.1769444444444335,8.040824201260193,-34.38782826847091,-3.6735294117647044,-0.029411764705884025,8.040824201260193,34.38782826847091,3.6735294117647044,0.029411764705884025,2013_2015
9,S16,O'Neil Creek,9_41.8,41.80979,-123.11887,North,41.75,-123.25,-0.610123957485382,-0.43835616438356156,-0.6641297901908537,-0.028564160635447366,-1.2790434559186306,75.166666666667,0.16750699624529966,1.2733333333333667,-88.50076167776544,-85.92253035475281,-5.785714285714292,-2.5,88.50076167776544,85.92253035475281,5.785714285714292,2.5,2013_2015
12,S11,Mill Creek,12_34.1,34.07808,-116.87558,South,34.25,-116.75,-0.4671572985711773,-0.08452672022354173,-0.560881658043316,-0.11896432925214362,-0.9201159874598189,45.933333333333096,0.08798569351129676,1.122777777777833,6.299464519629794,-48.86339607404773,-2.1380952380952323,2.900462962962962,6.299464519629794,48.86339607404773,2.1380952380952323,2.900462962962962,2013_2015
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013_2015
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013_2015
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013_2015
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013_2015
2,S07,West Fork Mojave River,2_34.3,34.28425,-117.37539,South,34.25,-117.25,-0.3130815398088047,-0.22590503055947356,-0.46929740212494314,-0.4809427722661579,-1.21169964472453,57.30000000000033,0.238721923920688,1.2147222222222334,15.599811478219323,14.923165133236097,-2.0416666666666714,3.717171717171709,15.599811478219323,14.923165133236097,2.0416666666666714,3.717171717171709,2014_2016
3,S10,North Fork Middle Fork Tule,3_36.2,36.20081,-118.65092,Centre,36.25,-118.75,-0.021429525439500656,-0.10443155624953525,-0.008335860709388567,-0.5212364322793347,-0.896896446744602,23.366666666666703,0.17493960181676227,1.2741666666666334,-74.26430789574826,18.423367412398846,-8.108870967741936,-5.779487179487177,74.26430789574826,18.423367412398846,8.108870967741936,5.779487179487177,2014_2016
5,S32,Wawona,5_37.5,37.539,-119.654,Centre,35.75,-119.75,-0.036072418599046134,-0.10296634341129494,-0.0023085642248750005,-0.5500616957517973,-1.1757745742797856,45.4,0.1343064953172252,1.4147222222222333,32.85413752988728,-15.031928062584768,-1.6630434782608745,-2.9166666666666714,32.85413752988728,15.031928062584768,1.6630434782608745,2.9166666666666714,2014_2016
6,S29,Oregon Creek,6_39.4,39.39442,-121.08302,Centre,39.25,-121.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014_2016
7,S18,Little Jameson Creek,7_39.7,39.74298,-120.70401,Centre,39.75,-120.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014_2016
8,S17,Deep Creek,8_41.7,41.66546,-123.11341,North,41.75,-123.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014_2016
9,S16,O'Neil Creek,9_41.8,41.80979,-123.11887,North,41.75,-123.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014_2016
10,S36,Deer Creek,10_42.3,42.27411,-123.63617,North,42.25,-123.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014_2016
11,S15,Rock Creek,11_43.4,43.37876,-122.95207,North,43.25,-122.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014_2016
